,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
1,waterSPCE,gomc,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,244.26521875101415,486.27808815879854,121.56952203969963,280.0,0.0,0.0,-6340788.739425104,3976.241470428791,994.0603676071978,1.0068742335552554,0.001648215174777416,0.000412053793694354
2,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.1699873105149858,1.1940528586039503,0.29851321465098757,299.9855307249328,0.14238807715866109,0.03559701928966527,-51251.07075384754,5.842480086362603,1.4606200215906509,0.9979992850805295,0.00022483770202246937,5.6209425505617344e-05
4,waterSPCE,hoomd,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,368.66982144427595,824.5618934803778,206.14047337009444,319.5464837093391,0.08411657455238651,0.021029143638096628,-50033.882489138945,5.196860047911769,1.2992150119779422,0.9863582701788145,0.00020292440438574735,5.073110109643684e-05
6,waterSPCE,lammps-VU,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-0.2966353234737142,1.0935806012083817,0.27339515030209544,280.0449006680848,0.1109876819501365,0.027746920487534125,-52633.59478870424,7.216325148521126,1.8040812871302816,1.0068795721825756,0.00022887788622402054,5.7219471556005136e-05
10,waterSPCE,cassandra,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,1235.69022838971,354.9461860447877,88.73654651119692,300.0,0.0,0.0,-51361.68181148438,42.56337158223778,10.640842895559445,0.9972780614748957,0.00174163108710968,0.00043540777177742
11,waterSPCE,lammps-VU,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.18501473068641294,1.0558209112352044,0.2639552278088011,320.0692139275947,0.1186647097934372,0.0296661774483593,-49918.14367100615,7.612600465387632,1.903150116346908,0.9863388500911472,0.0002236567788209163,5.591419470522907e-05
12,waterSPCE,mcccs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,346.1675232364062,238.35272346937472,59.58818086734368,0.0,0.0,0.0,-51376.63117764762,19.40948488327741,4.852371220819353,0.9974167823082374,0.0011413710442673161,0.00028534276106682903
14,waterSPCE,mcccs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,217.33623681320836,356.7486929276063,89.18717323190158,0.0,0.0,0.0,-50039.82971097703,16.46029181639707,4.115072954099268,0.986378609639563,0.0009200998165328889,0.00023002495413322222
18,waterSPCE,gromacs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.9066718454524352,4.981667918835428,1.245416979708857,279.9817103359171,0.11592430801449954,0.028981077003624886,-52755.273195048125,3.1387680812266017,0.7846920203066504,1.0067388050894401,0.00015772484647609355,3.943121161902339e-05
28,waterSPCE,cassandra,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,866.9418018054644,429.35162238942644,107.33790559735661,280.0,0.0,0.0,-52734.67883201042,38.62336544681362,9.655841361703406,1.0057786578704166,0.0018294356019261796,0.0004573589004815449
29,waterSPCE,gromacs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,2.078137808115704,5.0032406767093,1.250810169177325,300.03317599214233,0.10531469548206666,0.026328673870516666,-51379.23613949193,5.093489371990191,1.2733723429975476,0.997872222479935,0.00010611411405899197,2.6528528514747992e-05
30,waterSPCE,gomc,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,311.771610490875,506.6753819510162,126.66884548775406,300.0,0.0,0.0,-6173561.208366301,2376.258731989235,594.0646829973088,0.9978894387415365,0.001193495558743343,0.00029837388968583574
38,waterSPCE,gomc,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,265.9610005581678,422.41258608670194,105.60314652167548,320.0,0.0,0.0,-6018771.941017188,2242.8561646967696,560.7140411741924,0.9861967911254947,0.0008218002333186185,0.00020545005832965462
40,waterSPCE,hoomd,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-99.33640054930041,945.3953265290031,236.34883163225078,279.5379865837039,0.04143091216852132,0.01035772804213033,-52744.24093032333,4.92069443580055,1.2301736089501376,1.0065722954367806,0.00017623787459348486,4.4059468648371215e-05
42,waterSPCE,hoomd,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,13.152213180670365,620.0950559180179,155.02376397950448,299.50456544410036,0.03483938905237124,0.00870984726309281,-51370.08162540954,5.70235572028213,1.4255889300705324,0.9978713895661253,0.00018895279032016575,4.7238197580041436e-05
46,waterSPCE,cassandra,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,1559.4435246757655,485.87641276004734,121.46910319001184,320.0,0.0,0.0,-50016.77494926042,42.85054352322443,10.712635880806108,0.9863248068235417,0.0014094248417542293,0.0003523562104385573
50,waterSPCE,gromacs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,2.3062657949715435,6.061200588175036,1.515300147043759,320.0216821083835,0.10481191431510796,0.02620297857877699,-50043.963560970675,4.371378596902638,1.0928446492256596,0.9863577172415943,0.00010183277621188933,2.5458194052972332e-05
53,waterSPCE,mcccs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,492.521711559375,274.4140746706369,68.60351866765923,0.0,0.0,0.0,-52748.07641691869,41.68320678915052,10.42080169728763,1.006562398238529,0.0017102567726938519,0.00042756419317346297
