,jobid,molecule,engine,temperature,energy,relativeError
0,537a827a6a597b6227c66bc86208f2b2,ethanolAA,cassandra,300.0,31409.469,-0.2265647847856768
1,a4f169fdeaa01982335320b649c716fd,pentaneUA,gomc,372.0,537737.3919505653,-0.0956840607722997
2,2133a6ccb1c0a7dfaa59c74b09df8a44,pentaneUA,hoomd,372.0,537737.484007284,-0.07856480664087004
3,a05fa90049836bafee625b96db944eaa,methaneUA,hoomd,140.0,536736.470216157,-0.2472086663783365
4,0380639db0b3639d158f501e5bc12590,methaneUA,cassandra,140.0,536737.28,-0.0963372637298941
5,2cd0a2d4970d5b7b408c537efdd433b0,waterSPCE,cassandra,300.0,57175.778,-0.2427204310423845
6,97012c1605506c345df167c80b27f12e,ethanolAA,lammps-VU,300.0,31409.503929307408,-0.11535873966168772
7,167e7d08dded04323a0358b6bc9485ab,methaneUA,gromacs,140.0,536736.25,-0.2882372949246945
8,cd360aa5ecc32b0cc02bdd73783d049a,benzeneUA,cassandra,450.0,388939.82,0.7911493110053811
9,e7967e0505d15237c5bbacb0ce9c9d70,ethanolAA,gomc,300.0,31409.560442760474,0.06456574434204372
10,c24402695779c165187676e73179d7f1,ethanolAA,gromacs,300.0,31409.548828125,0.027587694317424142
11,959da7145ec916f2a3fd4012eb2a9066,waterSPCE,gomc,300.0,57175.43326351651,-0.8456604500493966
12,f95937fb2c289f423cae5221956d8092,pentaneUA,lammps-VU,372.0,537739.1201412209,0.22569753326479827
13,37579dac7bed60d0b07d4640036dd624,benzeneUA,mcccs,450.0,388939.0095806981,0.5827814165746737
14,4cc18d76c5f8043b0c01eab67d0ed722,methaneUA,mcccs,140.0,536736.674114428,-0.20922023476917453
15,d5bbd8bc1695c3b88fc5e1a49ccbc3c4,waterSPCE,hoomd,300.0,57176.1610373271,0.427207308978886
16,0e89e47e0b8386c5e0cb6741b6a43ddd,benzeneUA,lammps-VU,450.0,388924.22364089265,-3.2188495874977208
17,dfa90c3824da921ada9cf8439145a05f,waterSPCE,lammps-VU,300.0,57176.38530082049,0.819441497822054
18,f263f202caeb8615167b42450da87f33,ethanolAA,mcccs,300.0,31409.519802548064,-0.06482237213173715
19,4c8370ec3ff1a8c42dd407ed5ef62ba5,pentaneUA,cassandra,372.0,537738.4,0.09177704669322814
20,90c2d76b18753ac06172788dc32f35d6,ethanolAA,hoomd,300.0,31409.6389750015,0.3145924579427986
21,acb9c23b64d5b4c2abd149039c349db5,pentaneUA,mcccs,372.0,537737.7927811133,-0.021143928266560055
22,547c59c634af329f2a24f5ad2998421a,benzeneUA,hoomd,450.0,388939.009526007,0.5827673548784517
23,2f3951958b9c6bb4d19940f497143c2b,methaneUA,gomc,140.0,536736.5543672631,-0.23153041406786057
24,de0193cd6296c231319454d83625b4c5,pentaneUA,gromacs,372.0,537737.25,-0.12208178419170028
25,4e1e55a3ee37357ff50d9393d2c999b7,benzeneUA,gromacs,450.0,388939.34375,0.6687000930632382
26,115fee09778def3fa359ae7294707322,waterSPCE,gromacs,300.0,57176.3203125,0.7057776964309906
27,1904232205fa8cfe294699f4b024ca3c,waterSPCE,mcccs,300.0,57175.42275162585,-0.8640456220892473
28,10fd6a71341374749234dd646175d3f8,methaneUA,lammps-VU,140.0,536743.5537731947,1.0725338738699601
29,3a324d88bf4834dd8fb4e1a0a9c7334c,benzeneUA,gomc,450.0,388939.05108023086,0.5934514120208735
