,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,663.38,0.92,-15.466,0.05,temp: 98.0,0.029152174350098186
1,DL_POLY(BS),173.0,589.73,1.16,-13.121,0.069,temp: 173.0,0.049387835889109645
2,DL_POLY(BS),248.0,517.67,1.34,-11.05,0.08,temp: 248.0,0.08463853545259423
3,DL_POLY(BS),298.0,468.73,1.61,-9.75,0.087,temp: 298.0,0.12056513721404713
4,GROMACS(BS),98.0,663.38,0.05,-15.466,0.002,temp: 98.0,0.029152174350098186
5,GROMACS(BS),173.0,589.84,0.07,-13.125,0.002,temp: 173.0,0.06804965174034523
6,GROMACS(BS),248.0,517.42,0.11,-11.044,0.003,temp: 248.0,0.03630434642509959
7,GROMACS(BS),298.0,468.73,0.16,-9.75,0.004,temp: 298.0,0.12056513721404713
8,GROMACS(KL),98.0,663.27,0.05,-15.464,0.002,temp: 98.0,0.012565592392276313
9,GROMACS(KL),173.0,589.61,0.18,-13.118,0.005,temp: 173.0,0.029029491324127115
10,GROMACS(KL),248.0,517.46,0.09,-11.046,0.002,temp: 248.0,0.044037816669513674
11,GROMACS(KL),298.0,468.51,0.23,-9.745,0.006,temp: 298.0,0.07357321365423697
12,LAMMPS(AA),98.0,663.29,0.88,-15.463,0.03,temp: 98.0,0.015581334566422628
13,LAMMPS(AA),173.0,589.44,1.24,-13.114,0.036,temp: 173.0,0.00018850319040989723
14,LAMMPS(AA),248.0,517.16,1.89,-11.036,0.049,temp: 248.0,-0.01396321016349308
15,LAMMPS(AA),298.0,468.14,2.47,-9.737,0.058,temp: 298.0,-0.0054586577872531294
16,LAMMPS(KL),98.0,662.95,0.86,-15.459,0.029,temp: 98.0,-0.03568628239409902
17,LAMMPS(KL),173.0,589.3,1.32,-13.116,0.038,temp: 173.0,-0.023562898802085792
18,LAMMPS(KL),248.0,517.09,1.97,-11.039,0.05,temp: 248.0,-0.02749678309117927
19,LAMMPS(KL),298.0,468.18,2.52,-9.741,0.06,temp: 298.0,0.003085328314533849
20,ms2(KL),98.0,662.87,0.09,-15.449,0.003,temp: 98.0,-0.04774925109070142
21,ms2(KL),173.0,589.07,0.07,-13.102,0.002,temp: 173.0,-0.06258305921828464
22,ms2(KL),248.0,516.66,0.12,-11.023,0.003,temp: 248.0,-0.11063158821848235
23,ms2(KL),298.0,467.51,0.16,-9.72,0.004,temp: 298.0,-0.14002643889032823
24,ms2(PB),98.0,663.07,0.06,-15.456,0.002,temp: 98.0,-0.01759182934920398
25,ms2(PB),173.0,589.29,0.08,-13.109,0.002,temp: 173.0,-0.02525942751583273
26,ms2(PB),248.0,517.03,0.12,-11.034,0.003,temp: 248.0,-0.03909698845778942
27,ms2(PB),298.0,467.75,0.17,-9.729,0.004,temp: 298.0,-0.08876252227963065
28,Tinker(AA),98.0,663.3,1.1,,,temp: 98.0,0.017089205653495785
29,Tinker(AA),173.0,589.5,1.3,,,temp: 173.0,0.01036767547289152
30,Tinker(AA),248.0,517.4,1.6,,,temp: 248.0,0.032437611302903534
31,Tinker(AA),298.0,468.1,1.7,,,temp: 298.0,-0.014002643889027966
32,TOWHEE(BS),98.0,663.17,0.74,-15.464,0.026,temp: 98.0,-0.002513118478472405
33,TOWHEE(BS),173.0,589.17,0.49,-13.108,0.015,temp: 173.0,-0.045617772080815265
34,TOWHEE(BS),248.0,517.2,0.58,-11.039,0.015,temp: 248.0,-0.00622973991907899
35,TOWHEE(BS),298.0,467.84,0.49,-9.731,0.012,temp: 298.0,-0.06953855355062512
